class,mean_AP,AP_0.5m,AP_1.0m,AP_2.0m,AP_4.0m,trans_err,scale_err,orient_err,vel_err,attr_err
car,0.8730183138609348,0.7865573914001291,0.8778697570180286,0.908123383668976,0.9195227233566055,0.17289201543228158,0.15523025309669275,0.1025754763301596,0.31688195743736414,0.18740622472889182
truck,0.5952077213993658,0.41628706029726753,0.596238166129259,0.6655456348622414,0.7027600243086953,0.30929074613361485,0.1821719116185511,0.11178344987989741,0.27276029366683563,0.22972701439013068
bus,0.7098762962448106,0.47539468265426443,0.6786757346903196,0.8303112195236982,0.8551235481109599,0.33547855466003124,0.18267638981097584,0.06944100033523967,0.5288233833601669,0.2506251844540729
trailer,0.40767494023348994,0.12486913745472454,0.3573741882629772,0.5269801150993304,0.6214763201169275,0.5246214782846054,0.20900071416685706,0.613026977121734,0.21405096873763663,0.14374824403178713
construction_vehicle,0.26134797862670245,0.03578517014138827,0.2019829452386946,0.35358305687049274,0.45404074225623414,0.6741122843092969,0.44827055439631974,0.9440232482098796,0.1303993821098128,0.3073637137148973
pedestrian,0.8593082465812838,0.8408222048299389,0.8549829363078483,0.864951557540573,0.8764762876467751,0.13319416043252133,0.2894960434317158,0.38738233070328676,0.23929694025272438,0.0899156011220387
motorcycle,0.579245705523713,0.5108391547016109,0.5854987766633609,0.6049103997005293,0.6157344910293505,0.20550707643442018,0.2495968038300843,0.3411340009165897,0.4119623933449188,0.23449308488512713
bicycle,0.5167908436057739,0.4987536250994858,0.5190844582987727,0.5214269320241359,0.5278983590007011,0.16008611982441545,0.25831346009588985,0.3654201619233054,0.22786897624973027,0.009485001718816407
traffic_cone,0.7602987773679724,0.7348604465564271,0.7459738035833601,0.7656260570752813,0.7947348022568208,0.1329828626202865,0.3195964621957815,,,
barrier,0.6765318614827265,0.5779422632335467,0.6751506148981085,0.719254451633142,0.7337801161661088,0.20072194052431,0.28605854487036336,0.06113045623056736,,
